Ciudad,Mes,Nmero Extranjeros,Homicidios,Hurtos,Delitos Sexuales,Departamento,Temperatura,Dolar,Pib Ponderado,Entradas Extranjeros Zona,Distancia a accseos,importancia accesos,Establecimientos de turismo,N Habitaciones,N Camas,Distancia al TOP,Proxy Pobreza,Gasto Promedio Diario,Gasto Alojamiento Diario,Gasto Transporte Diario,Gasto alimetos Diario,Otros Gastos Diario,Gasto Promedio Viaje,Gasto  Alojamiento Viaje,Gasto Transporte Viaje,Gasto alimetos Viaje,Otros Gastos Viaje,Inflacion,Nmero Vias,Eventos,Area Urbana,Area Rural,Area Agua
neiva,7-2023,533.0,2,731,28,huila,24.038470599538847,4089.3,858.677156948045,0.0,372.84769064930686,0.0,100.0,567.4000000000015,1024.4,0.6529188876861586,0.0022595637506231136,144821.653,16934.791,26572.915,34507.356,66806.591,624082.69,72977.415,114511.167,148703.202,287890.906,11.78492,5,0.0,24.18334352941176,6.422261960784314,0.1675
pitalito,7-2023,101.0,7,126,4,huila,24.03847059948626,4089.3,229.0400231791502,0.0,493.486541683841,0.0,29.799999999999997,293.79999999999563,395.59999999999997,0.7013303338863129,0.001719455149424948,103329.31907351888,19520.429107435895,22175.395818424775,29685.681283524773,33846.99459606794,428596.0041718834,96724.21329166675,97747.51744058618,134160.32938764428,163020.55307292257,11.78492,6,0.0,5.661860000000001,1.445676078431374,0.007000000000000006
ipiales,7-2023,513.0,8,110,14,narino,24.038470599470365,4089.3,172.18857049858536,9600.0,664.7448629011558,0.24078276854468894,39.400000000000006,473.0,707.8,0.7765861325027676,0.0010367871344275036,108472.67406985672,19590.95072670035,16063.21897650883,29685.681283524773,48606.607722468325,498037.9549942719,96724.21329166675,74401.21188066123,133888.84957951886,225490.02997715492,11.78492,5,0.0,4.416134117647058,1.1161678431372537,0.020299999999999985
sogamoso,7-2023,109.0,1,113,8,boyaca,12.9,4089.3,352.67937033373465,0.0,297.66269322317356,0.0,31.452662771613177,189.5640336250508,313.9982806165198,0.6330394783904527,0.003039527112010882,122328.22949268945,19695.47249730376,19272.42994328309,29685.681283524773,44988.61697510241,550188.6378196965,96724.21329166675,88230.94226889216,146907.983227285,208552.37152009454,11.78492,6,3.0,4.832952156862746,1.249919999999999,0.02479999999999999
mocoa,7-2023,62.0,1,10,6,putumayo,22.1,4089.3,82.76828338361005,370.0,587.2411564107721,0.10134505282525,30.0,191.60000000000582,266.4,0.7410832122999917,0.0014675747966880041,103658.40758859721,19593.2954682498,18492.34556927599,29685.681283524773,39259.77294462614,437758.9826728723,96724.21329166675,82941.89413894396,133382.67413196334,185150.8613051472,11.78492,4,0.0,3.0885462745098025,0.6690580392156864,0.008199999999999985
palmira,7-2023,1043.0,8,197,7,valledelcauca,24.0,4089.3,869.8790708004544,17881.0,365.04272806881255,0.15675198151747263,48.08340102457636,1714274.825443128,409.10737702680615,0.6467101663111068,0.0024237703807532965,114945.18919278019,21184.202550643142,19419.4140572113,30081.118861201005,48289.89833296967,513868.6395914811,96724.21329166675,87236.78304914353,135402.42620320854,191555.6077934615,11.78492,12,0.0,14.57985921568628,3.862556862745094,0.0358
soacha,7-2023,209.0,17,752,35,bogotadc,24.03847059967577,4089.3,826.800721321449,180236.0,207.26394895683876,0.7000000000000001,20.495252467806278,79.00057801102957,89.61985897652596,0.6052122069146961,0.0015825693977923846,125061.91486177479,23374.76752614631,24314.503952903367,32985.677918935115,46983.73914889679,583748.3173234182,97816.41157570641,103333.47359294388,142266.88488967362,181519.2920051914,11.78492,3,2.0,17.89801921568629,4.373384313725491,0.08120509803921563
soledad,7-2023,122.0,16,255,16,magdalena,28.3,4089.3,892.2065039583721,1058.0,588.5698439826081,0.20313407082283658,10.0,96.79999999999563,138.39999999999998,0.7405221024898899,0.0013198047732123478,105687.91903743341,16602.32512982937,20540.242318550758,29162.345076099817,36693.32580558042,478508.05125170643,87799.544512282,94997.67276588235,144633.54824607947,190142.56449671014,11.78492,8,1.0,14.96693843137253,4.239943921568628,0.12075176470588228
turbo,7-2023,14.0,3,6,3,antioquia,24.03847060009436,4089.3,442.86623609798113,62577.0,432.0432790203722,0.4335756784203497,8.780986395285652,102.1845274874795,170.67156313200383,0.6711923609959348,0.002446774785071719,113818.43037149507,19593.2954682498,16885.87693529579,29685.681283524773,48899.95404901122,844504.782090246,96724.21329166675,111227.2852530775,153427.10868233786,306084.10231800115,11.78492,2,6.0,1.8012337254901958,0.8310141176470585,1.003921568628
sanandres,7-2023,6449.0,6,32,6,archipielagodesanandresprovidenciaysantacatalina,29.1,4089.3,181.0299495880105,1177.0,1103.5460151532536,0.20454415834310288,311.2,4512.800000000003,7632.399999999999,0.9693082696318024,0.0025161919993885763,184293.284,20269.484,1404.365,27002.43,135617.006,1330525.496,146337.752,10138.97,194946.989,979101.784,11.78492,1,0.0,0.6977015686274513,2.077816078431372,3.11655607843137
